item-db-1   | 2024-11-17T12:52:19.042+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=5233bfae1cbd
item-db-1   | 2024-11-17T12:52:19.745+0000 I STORAGE  [initandlisten] WiredTiger message [1731847939:745452][1:0xffffa0fcf000], txn-recover: Set global recovery timestamp: 0
item-db-1   | 2024-11-17T12:52:19.759+0000 I CONTROL  [initandlisten] 
item-db-1   | 2024-11-17T12:52:19.759+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
item-db-1   | 2024-11-17T12:52:19.759+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
item-db-1   | 2024-11-17T12:52:19.759+0000 I CONTROL  [initandlisten] 
item-db-1   | 2024-11-17T12:52:19.759+0000 I CONTROL  [initandlisten] 
item-db-1   | 2024-11-17T12:52:19.759+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
item-db-1   | 2024-11-17T12:52:19.759+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
item-db-1   | 2024-11-17T12:52:19.759+0000 I CONTROL  [initandlisten] 
item-db-1   | 2024-11-17T12:52:19.763+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
item-db-1   | 2024-11-17T12:52:19.764+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
item-db-1   | 2024-11-17T12:52:19.764+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
item-db-1   | 2024-11-17T12:52:19.764+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
item-db-1   | 2024-11-17T12:52:30.418+0000 I NETWORK  [listener] connection accepted from 172.20.0.3:57132 #1 (1 connection now open)
item-db-1   | 2024-11-17T12:52:30.422+0000 I NETWORK  [conn1] received client metadata from 172.20.0.3:57132 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "arm64", version: "6.10.11-linuxkit" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
item-app-1  | yarn install v1.22.19
item-app-1  | $ npx npm-force-resolutions
item-app-1  | npx: installed 6 in 1.996s
item-app-1  | warning package-lock.json found. Your project contains lock files generated by tools other than Yarn. It is advised not to mix package managers in order to avoid resolution inconsistencies caused by unsynchronized lock files. To clear this warning, remove package-lock.json.
item-app-1  | [1/4] Resolving packages...
item-app-1  | success Already up-to-date.
item-app-1  | Done in 10.58s.
item-app-1  | yarn run v1.22.19
item-app-1  | $ node ./bin/www
item-app-1  | NODE_ENV: production
item-app-1  | Connected to database
item-app-1  | [0mGET / [36m304 [0m190.909 ms - -[0m
item-app-1  | [0mGET /javascripts/dist/dist.min.js [36m304 [0m7.188 ms - -[0m
item-app-1  | [0mGET /stylesheets/style.css [32m200 [0m43.438 ms - 519[0m
item-app-1  | Found the following records [
item-app-1  |   { _id: 6739e1b7c54e1f0063e22a08, message: 'ytest' },
item-app-1  |   { _id: 6739e1bac54e1f0063e22a09, message: 'rqwwass' },
item-app-1  |   { _id: 6739e33d00c56500620c7263, message: 'test 1' },
item-app-1  |   { _id: 6739e33f00c56500620c7264, message: 'test 2' },
item-app-1  |   { _id: 6739e34100c56500620c7265, message: 'test 3' },
item-app-1  |   { _id: 6739e40a00c56500620c7266, message: 'test 1' },
item-app-1  |   { _id: 6739e40e00c56500620c7267, message: 'test 2' },
item-app-1  |   { _id: 6739e41000c56500620c7268, message: 'test 3' }
item-app-1  | ]
item-app-1  | null
item-app-1  | [0mGET /api [32m200 [0m9.254 ms - 433[0m
item-app-1  | CommandResult {
item-app-1  |   result: { n: 1, ok: 1 },
item-app-1  |   connection: Connection {
item-app-1  |     _events: [Object: null prototype] {
item-app-1  |       error: [Function],
item-app-1  |       close: [Function],
item-app-1  |       timeout: [Function],
item-app-1  |       parseError: [Function]
item-app-1  |     },
item-app-1  |     _eventsCount: 4,
item-app-1  |     _maxListeners: undefined,
item-app-1  |     options: {
item-app-1  |       host: 'item-db',
item-app-1  |       port: 27017,
item-app-1  |       size: 5,
item-app-1  |       connectionTimeout: 30000,
item-app-1  |       socketTimeout: 360000,
item-app-1  |       keepAlive: true,
item-app-1  |       keepAliveInitialDelay: 300000,
item-app-1  |       noDelay: true,
item-app-1  |       ssl: false,
item-app-1  |       checkServerIdentity: true,
item-app-1  |       ca: null,
item-app-1  |       crl: null,
item-app-1  |       cert: null,
item-app-1  |       key: null,
item-app-1  |       passPhrase: null,
item-app-1  |       rejectUnauthorized: false,
item-app-1  |       promoteLongs: true,
item-app-1  |       promoteValues: true,
item-app-1  |       promoteBuffers: false,
item-app-1  |       reconnect: true,
item-app-1  |       reconnectInterval: 1000,
item-app-1  |       reconnectTries: 30,
item-app-1  |       domainsEnabled: false,
item-app-1  |       disconnectHandler: [Store],
item-app-1  |       cursorFactory: [Function],
item-app-1  |       emitError: true,
item-app-1  |       socketOptions: {},
item-app-1  |       clientInfo: [Object],
item-app-1  |       readPreference: [ReadPreference],
item-app-1  |       promiseLibrary: [Function: Promise],
item-app-1  |       bson: BSON {}
item-app-1  |     },
item-app-1  |     id: 0,
item-app-1  |     logger: Logger { className: 'Connection' },
item-app-1  |     bson: BSON {},
item-app-1  |     tag: undefined,
item-app-1  |     messageHandler: [Function (anonymous)],
item-app-1  |     maxBsonMessageSize: 67108864,
item-app-1  |     port: 27017,
item-app-1  |     host: 'item-db',
item-app-1  |     family: undefined,
item-app-1  |     keepAlive: true,
item-app-1  |     keepAliveInitialDelay: 300000,
item-app-1  |     noDelay: true,
item-app-1  |     connectionTimeout: 30000,
item-app-1  |     socketTimeout: 360000,
item-app-1  |     destroyed: false,
item-app-1  |     domainSocket: false,
item-app-1  |     singleBufferSerializtion: true,
item-app-1  |     serializationFunction: 'toBinUnified',
item-app-1  |     ca: null,
item-app-1  |     crl: null,
item-app-1  |     cert: null,
item-app-1  |     key: null,
item-app-1  |     passphrase: null,
item-app-1  |     ciphers: null,
item-app-1  |     ecdhCurve: null,
item-app-1  |     ssl: false,
item-app-1  |     rejectUnauthorized: false,
item-app-1  |     checkServerIdentity: true,
item-app-1  |     responseOptions: { promoteLongs: true, promoteValues: true, promoteBuffers: false },
item-app-1  |     flushing: false,
item-app-1  |     queue: [],
item-app-1  |     connection: Socket {
item-app-1  |       connecting: false,
item-app-1  |       _hadError: false,
item-app-1  |       _parent: null,
item-app-1  |       _host: 'item-db',
item-app-1  |       _readableState: [ReadableState],
item-app-1  |       _events: [Object: null prototype],
item-app-1  |       _eventsCount: 5,
item-app-1  |       _maxListeners: undefined,
item-app-1  |       _writableState: [WritableState],
item-app-1  |       allowHalfOpen: false,
item-app-1  |       _sockname: null,
item-app-1  |       _pendingData: null,
item-app-1  |       _pendingEncoding: '',
item-app-1  |       server: null,
item-app-1  |       _server: null,
item-app-1  |       timeout: 360000,
item-app-1  |       [Symbol(async_id_symbol)]: 6,
item-app-1  |       [Symbol(kHandle)]: [TCP],
item-app-1  |       [Symbol(kSetNoDelay)]: true,
item-app-1  |       [Symbol(lastWriteQueueSize)]: 0,
item-app-1  |       [Symbol(timeout)]: Timeout {
item-app-1  |         _idleTimeout: 360000,
item-app-1  |         _idlePrev: [TimersList],
item-app-1  |         _idleNext: [TimersList],
item-app-1  |         _idleStart: 14956,
item-app-1  |         _onTimeout: [Function: bound ],
item-app-1  |         _timerArgs: undefined,
item-app-1  |         _repeat: null,
item-app-1  |         _destroyed: false,
item-app-1  |         [Symbol(refed)]: false,
item-app-1  |         [Symbol(kHasPrimitive)]: false,
item-app-1  |         [Symbol(asyncId)]: 52,
item-app-1  |         [Symbol(triggerId)]: 6
item-app-1  |       },
item-app-1  |       [Symbol(kBuffer)]: null,
item-app-1  |       [Symbol(kBufferCb)]: null,
item-app-1  |       [Symbol(kBufferGen)]: null,
item-app-1  |       [Symbol(kCapture)]: false,
item-app-1  |       [Symbol(kBytesRead)]: 0,
item-app-1  |       [Symbol(kBytesWritten)]: 0
item-app-1  |     },
item-app-1  |     writeStream: null,
item-app-1  |     hashedName: '03c1a6d65ff75972af4aa8f49add6222130d828a',
item-app-1  |     workItems: [],
item-app-1  |     buffer: null,
item-app-1  |     sizeOfMessage: 0,
item-app-1  |     bytesRead: 0,
item-app-1  |     stubBuffer: null,
item-app-1  |     [Symbol(kCapture)]: false
item-app-1  |   },
item-app-1  |   message: Response {
item-app-1  |     parsed: true,
item-app-1  |     index: 60,
item-app-1  |     raw: <Buffer 3c 00 00 00 06 00 00 00 05 00 00 00 01 00 00 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 18 00 00 00 10 6e 00 01 00 00 00 01 6f 6b ... 10 more bytes>,
item-app-1  |     data: <Buffer 3c 00 00 00 06 00 00 00 05 00 00 00 01 00 00 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 18 00 00 00 10 6e 00 01 00 00 00 01 6f 6b ... 10 more bytes>,
item-app-1  |     bson: BSON {},
item-app-1  |     opts: { promoteLongs: true, promoteValues: true, promoteBuffers: false },
item-app-1  |     length: 60,
item-app-1  |     requestId: 6,
item-app-1  |     responseTo: 5,
item-app-1  |     responseFlags: 8,
item-app-1  |     cursorId: Long { _bsontype: 'Long', low_: 0, high_: 0 },
item-app-1  |     startingFrom: 0,
item-app-1  |     numberReturned: 1,
item-app-1  |     documents: [ [Object] ],
item-app-1  |     cursorNotFound: false,
item-app-1  |     queryFailure: false,
item-app-1  |     shardConfigStale: false,
item-app-1  |     awaitCapable: true,
item-app-1  |     promoteLongs: true,
item-app-1  |     promoteValues: true,
item-app-1  |     promoteBuffers: false,
item-app-1  |     hashedName: '03c1a6d65ff75972af4aa8f49add6222130d828a'
item-app-1  |   },
item-app-1  |   ops: [ { message: 'weres', _id: 6739e71dbdd6fd0062d3f53a } ],
item-app-1  |   insertedCount: 1,
item-app-1  |   insertedId: 6739e71dbdd6fd0062d3f53a
item-app-1  | }
item-app-1  | null
item-app-1  | [0mPOST /api [32m201 [0m27.822 ms - 52[0m
item-app-1  | [0mGET / [36m304 [0m3.355 ms - -[0m
item-app-1  | [0mGET /javascripts/dist/dist.min.js [36m304 [0m0.993 ms - -[0m
item-app-1  | [0mGET /stylesheets/style.css [32m200 [0m5.764 ms - 519[0m
item-app-1  | Found the following records [
item-app-1  |   { _id: 6739e1b7c54e1f0063e22a08, message: 'ytest' },
item-app-1  |   { _id: 6739e1bac54e1f0063e22a09, message: 'rqwwass' },
item-app-1  |   { _id: 6739e33d00c56500620c7263, message: 'test 1' },
item-app-1  |   { _id: 6739e33f00c56500620c7264, message: 'test 2' },
item-app-1  |   { _id: 6739e34100c56500620c7265, message: 'test 3' },
item-app-1  |   { _id: 6739e40a00c56500620c7266, message: 'test 1' },
item-app-1  |   { _id: 6739e40e00c56500620c7267, message: 'test 2' },
item-app-1  |   { _id: 6739e41000c56500620c7268, message: 'test 3' },
item-app-1  |   { _id: 6739e71dbdd6fd0062d3f53a, message: 'weres' }
item-app-1  | ]
item-app-1  | null
item-app-1  | [0mGET /api [32m200 [0m3.003 ms - 486[0m
item-app-1  | [0mGET / [32m200 [0m4.195 ms - 785[0m
item-app-1  | [0mGET /stylesheets/style.css [32m200 [0m3.099 ms - 519[0m
item-app-1  | [0mGET /javascripts/dist/dist.min.js [32m200 [0m2.870 ms - 186788[0m
item-app-1  | Found the following records [
item-app-1  |   { _id: 6739e1b7c54e1f0063e22a08, message: 'ytest' },
item-app-1  |   { _id: 6739e1bac54e1f0063e22a09, message: 'rqwwass' },
item-app-1  |   { _id: 6739e33d00c56500620c7263, message: 'test 1' },
item-app-1  |   { _id: 6739e33f00c56500620c7264, message: 'test 2' },
item-app-1  |   { _id: 6739e34100c56500620c7265, message: 'test 3' },
item-app-1  |   { _id: 6739e40a00c56500620c7266, message: 'test 1' },
item-app-1  |   { _id: 6739e40e00c56500620c7267, message: 'test 2' },
item-app-1  |   { _id: 6739e41000c56500620c7268, message: 'test 3' },
item-app-1  |   { _id: 6739e71dbdd6fd0062d3f53a, message: 'weres' }
item-app-1  | ]
item-app-1  | null
item-app-1  | [0mGET /api [32m200 [0m3.008 ms - 486[0m
item-app-1  | CommandResult {
item-app-1  |   result: { n: 1, ok: 1 },
item-app-1  |   connection: Connection {
item-app-1  |     _events: [Object: null prototype] {
item-app-1  |       error: [Function],
item-app-1  |       close: [Function],
item-app-1  |       timeout: [Function],
item-app-1  |       parseError: [Function]
item-app-1  |     },
item-app-1  |     _eventsCount: 4,
item-app-1  |     _maxListeners: undefined,
item-app-1  |     options: {
item-app-1  |       host: 'item-db',
item-app-1  |       port: 27017,
item-app-1  |       size: 5,
item-app-1  |       connectionTimeout: 30000,
item-app-1  |       socketTimeout: 360000,
item-app-1  |       keepAlive: true,
item-app-1  |       keepAliveInitialDelay: 300000,
item-app-1  |       noDelay: true,
item-app-1  |       ssl: false,
item-app-1  |       checkServerIdentity: true,
item-app-1  |       ca: null,
item-app-1  |       crl: null,
item-app-1  |       cert: null,
item-app-1  |       key: null,
item-app-1  |       passPhrase: null,
item-app-1  |       rejectUnauthorized: false,
item-app-1  |       promoteLongs: true,
item-app-1  |       promoteValues: true,
item-app-1  |       promoteBuffers: false,
item-app-1  |       reconnect: true,
item-app-1  |       reconnectInterval: 1000,
item-app-1  |       reconnectTries: 30,
item-app-1  |       domainsEnabled: false,
item-app-1  |       disconnectHandler: [Store],
item-app-1  |       cursorFactory: [Function],
item-app-1  |       emitError: true,
item-app-1  |       socketOptions: {},
item-app-1  |       clientInfo: [Object],
item-app-1  |       readPreference: [ReadPreference],
item-app-1  |       promiseLibrary: [Function: Promise],
item-app-1  |       bson: BSON {}
item-app-1  |     },
item-app-1  |     id: 0,
item-app-1  |     logger: Logger { className: 'Connection' },
item-app-1  |     bson: BSON {},
item-app-1  |     tag: undefined,
item-app-1  |     messageHandler: [Function (anonymous)],
item-app-1  |     maxBsonMessageSize: 67108864,
item-app-1  |     port: 27017,
item-app-1  |     host: 'item-db',
item-app-1  |     family: undefined,
item-app-1  |     keepAlive: true,
item-app-1  |     keepAliveInitialDelay: 300000,
item-app-1  |     noDelay: true,
item-app-1  |     connectionTimeout: 30000,
item-app-1  |     socketTimeout: 360000,
item-app-1  |     destroyed: false,
item-app-1  |     domainSocket: false,
item-app-1  |     singleBufferSerializtion: true,
item-app-1  |     serializationFunction: 'toBinUnified',
item-app-1  |     ca: null,
item-app-1  |     crl: null,
item-app-1  |     cert: null,
item-app-1  |     key: null,
item-app-1  |     passphrase: null,
item-app-1  |     ciphers: null,
item-app-1  |     ecdhCurve: null,
item-app-1  |     ssl: false,
item-app-1  |     rejectUnauthorized: false,
item-app-1  |     checkServerIdentity: true,
item-app-1  |     responseOptions: { promoteLongs: true, promoteValues: true, promoteBuffers: false },
item-app-1  |     flushing: false,
item-app-1  |     queue: [],
item-app-1  |     connection: Socket {
item-app-1  |       connecting: false,
item-app-1  |       _hadError: false,
item-app-1  |       _parent: null,
item-app-1  |       _host: 'item-db',
item-app-1  |       _readableState: [ReadableState],
item-app-1  |       _events: [Object: null prototype],
item-app-1  |       _eventsCount: 5,
item-app-1  |       _maxListeners: undefined,
item-app-1  |       _writableState: [WritableState],
item-app-1  |       allowHalfOpen: false,
item-app-1  |       _sockname: null,
item-app-1  |       _pendingData: null,
item-app-1  |       _pendingEncoding: '',
item-app-1  |       server: null,
item-app-1  |       _server: null,
item-app-1  |       timeout: 360000,
item-app-1  |       [Symbol(async_id_symbol)]: 6,
item-app-1  |       [Symbol(kHandle)]: [TCP],
item-app-1  |       [Symbol(kSetNoDelay)]: true,
item-app-1  |       [Symbol(lastWriteQueueSize)]: 0,
item-app-1  |       [Symbol(timeout)]: Timeout {
item-app-1  |         _idleTimeout: 360000,
item-app-1  |         _idlePrev: [TimersList],
item-app-1  |         _idleNext: [TimersList],
item-app-1  |         _idleStart: 238061,
item-app-1  |         _onTimeout: [Function: bound ],
item-app-1  |         _timerArgs: undefined,
item-app-1  |         _repeat: null,
item-app-1  |         _destroyed: false,
item-app-1  |         [Symbol(refed)]: false,
item-app-1  |         [Symbol(kHasPrimitive)]: false,
item-app-1  |         [Symbol(asyncId)]: 670,
item-app-1  |         [Symbol(triggerId)]: 6
item-app-1  |       },
item-app-1  |       [Symbol(kBuffer)]: null,
item-app-1  |       [Symbol(kBufferCb)]: null,
item-app-1  |       [Symbol(kBufferGen)]: null,
item-app-1  |       [Symbol(kCapture)]: false,
item-app-1  |       [Symbol(kBytesRead)]: 0,
item-app-1  |       [Symbol(kBytesWritten)]: 0
item-app-1  |     },
item-app-1  |     writeStream: null,
item-app-1  |     hashedName: '03c1a6d65ff75972af4aa8f49add6222130d828a',
item-app-1  |     workItems: [],
item-app-1  |     buffer: null,
item-app-1  |     sizeOfMessage: 0,
item-app-1  |     bytesRead: 0,
item-app-1  |     stubBuffer: null,
item-app-1  |     [Symbol(kCapture)]: false
item-app-1  |   },
item-app-1  |   message: Response {
item-app-1  |     parsed: true,
item-app-1  |     index: 60,
item-app-1  |     raw: <Buffer 3c 00 00 00 36 00 00 00 35 00 00 00 01 00 00 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 18 00 00 00 10 6e 00 01 00 00 00 01 6f 6b ... 10 more bytes>,
item-app-1  |     data: <Buffer 3c 00 00 00 36 00 00 00 35 00 00 00 01 00 00 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 18 00 00 00 10 6e 00 01 00 00 00 01 6f 6b ... 10 more bytes>,
item-app-1  |     bson: BSON {},
item-app-1  |     opts: { promoteLongs: true, promoteValues: true, promoteBuffers: false },
item-app-1  |     length: 60,
item-app-1  |     requestId: 54,
item-app-1  |     responseTo: 53,
item-app-1  |     responseFlags: 8,
item-app-1  |     cursorId: Long { _bsontype: 'Long', low_: 0, high_: 0 },
item-app-1  |     startingFrom: 0,
item-app-1  |     numberReturned: 1,
item-app-1  |     documents: [ [Object] ],
item-app-1  |     cursorNotFound: false,
item-app-1  |     queryFailure: false,
item-app-1  |     shardConfigStale: false,
item-app-1  |     awaitCapable: true,
item-app-1  |     promoteLongs: true,
item-app-1  |     promoteValues: true,
item-app-1  |     promoteBuffers: false,
item-app-1  |     hashedName: '03c1a6d65ff75972af4aa8f49add6222130d828a'
item-app-1  |   },
item-app-1  |   ops: [ { message: 'test', _id: 6739e7fcbdd6fd0062d3f53b } ],
item-app-1  |   insertedCount: 1,
item-app-1  |   insertedId: 6739e7fcbdd6fd0062d3f53b
item-app-1  | }
item-app-1  | null
item-app-1  | [0mPOST /api [32m201 [0m7.983 ms - 51[0m
item-app-1  | CommandResult {
item-app-1  |   result: { n: 1, ok: 1 },
item-app-1  |   connection: Connection {
item-app-1  |     _events: [Object: null prototype] {
item-app-1  |       error: [Function],
item-app-1  |       close: [Function],
item-app-1  |       timeout: [Function],
item-app-1  |       parseError: [Function]
item-app-1  |     },
item-app-1  |     _eventsCount: 4,
item-app-1  |     _maxListeners: undefined,
item-app-1  |     options: {
item-app-1  |       host: 'item-db',
item-app-1  |       port: 27017,
item-app-1  |       size: 5,
item-app-1  |       connectionTimeout: 30000,
item-app-1  |       socketTimeout: 360000,
item-app-1  |       keepAlive: true,
item-app-1  |       keepAliveInitialDelay: 300000,
item-app-1  |       noDelay: true,
item-app-1  |       ssl: false,
item-app-1  |       checkServerIdentity: true,
item-app-1  |       ca: null,
item-app-1  |       crl: null,
item-app-1  |       cert: null,
item-app-1  |       key: null,
item-app-1  |       passPhrase: null,
item-app-1  |       rejectUnauthorized: false,
item-app-1  |       promoteLongs: true,
item-app-1  |       promoteValues: true,
item-app-1  |       promoteBuffers: false,
item-app-1  |       reconnect: true,
item-app-1  |       reconnectInterval: 1000,
item-app-1  |       reconnectTries: 30,
item-app-1  |       domainsEnabled: false,
item-app-1  |       disconnectHandler: [Store],
item-app-1  |       cursorFactory: [Function],
item-app-1  |       emitError: true,
item-app-1  |       socketOptions: {},
item-app-1  |       clientInfo: [Object],
item-app-1  |       readPreference: [ReadPreference],
item-app-1  |       promiseLibrary: [Function: Promise],
item-app-1  |       bson: BSON {}
item-app-1  |     },
item-app-1  |     id: 0,
item-app-1  |     logger: Logger { className: 'Connection' },
item-app-1  |     bson: BSON {},
item-app-1  |     tag: undefined,
item-app-1  |     messageHandler: [Function (anonymous)],
item-app-1  |     maxBsonMessageSize: 67108864,
item-app-1  |     port: 27017,
item-app-1  |     host: 'item-db',
item-app-1  |     family: undefined,
item-app-1  |     keepAlive: true,
item-app-1  |     keepAliveInitialDelay: 300000,
item-app-1  |     noDelay: true,
item-app-1  |     connectionTimeout: 30000,
item-app-1  |     socketTimeout: 360000,
item-app-1  |     destroyed: false,
item-app-1  |     domainSocket: false,
item-app-1  |     singleBufferSerializtion: true,
item-app-1  |     serializationFunction: 'toBinUnified',
item-app-1  |     ca: null,
item-app-1  |     crl: null,
item-app-1  |     cert: null,
item-app-1  |     key: null,
item-app-1  |     passphrase: null,
item-app-1  |     ciphers: null,
item-app-1  |     ecdhCurve: null,
item-app-1  |     ssl: false,
item-app-1  |     rejectUnauthorized: false,
item-app-1  |     checkServerIdentity: true,
item-app-1  |     responseOptions: { promoteLongs: true, promoteValues: true, promoteBuffers: false },
item-app-1  |     flushing: false,
item-app-1  |     queue: [],
item-app-1  |     connection: Socket {
item-app-1  |       connecting: false,
item-app-1  |       _hadError: false,
item-app-1  |       _parent: null,
item-app-1  |       _host: 'item-db',
item-app-1  |       _readableState: [ReadableState],
item-app-1  |       _events: [Object: null prototype],
item-app-1  |       _eventsCount: 5,
item-app-1  |       _maxListeners: undefined,
item-app-1  |       _writableState: [WritableState],
item-app-1  |       allowHalfOpen: false,
item-app-1  |       _sockname: null,
item-app-1  |       _pendingData: null,
item-app-1  |       _pendingEncoding: '',
item-app-1  |       server: null,
item-app-1  |       _server: null,
item-app-1  |       timeout: 360000,
item-app-1  |       [Symbol(async_id_symbol)]: 6,
item-app-1  |       [Symbol(kHandle)]: [TCP],
item-app-1  |       [Symbol(kSetNoDelay)]: true,
item-app-1  |       [Symbol(lastWriteQueueSize)]: 0,
item-app-1  |       [Symbol(timeout)]: Timeout {
item-app-1  |         _idleTimeout: 360000,
item-app-1  |         _idlePrev: [TimersList],
item-app-1  |         _idleNext: [TimersList],
item-app-1  |         _idleStart: 239785,
item-app-1  |         _onTimeout: [Function: bound ],
item-app-1  |         _timerArgs: undefined,
item-app-1  |         _repeat: null,
item-app-1  |         _destroyed: false,
item-app-1  |         [Symbol(refed)]: false,
item-app-1  |         [Symbol(kHasPrimitive)]: false,
item-app-1  |         [Symbol(asyncId)]: 670,
item-app-1  |         [Symbol(triggerId)]: 6
item-app-1  |       },
item-app-1  |       [Symbol(kBuffer)]: null,
item-app-1  |       [Symbol(kBufferCb)]: null,
item-app-1  |       [Symbol(kBufferGen)]: null,
item-app-1  |       [Symbol(kCapture)]: false,
item-app-1  |       [Symbol(kBytesRead)]: 0,
item-app-1  |       [Symbol(kBytesWritten)]: 0
item-app-1  |     },
item-app-1  |     writeStream: null,
item-app-1  |     hashedName: '03c1a6d65ff75972af4aa8f49add6222130d828a',
item-app-1  |     workItems: [],
item-app-1  |     buffer: null,
item-app-1  |     sizeOfMessage: 0,
item-app-1  |     bytesRead: 0,
item-app-1  |     stubBuffer: null,
item-app-1  |     [Symbol(kCapture)]: false
item-app-1  |   },
item-app-1  |   message: Response {
item-app-1  |     parsed: true,
item-app-1  |     index: 60,
item-app-1  |     raw: <Buffer 3c 00 00 00 37 00 00 00 36 00 00 00 01 00 00 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 18 00 00 00 10 6e 00 01 00 00 00 01 6f 6b ... 10 more bytes>,
item-app-1  |     data: <Buffer 3c 00 00 00 37 00 00 00 36 00 00 00 01 00 00 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 18 00 00 00 10 6e 00 01 00 00 00 01 6f 6b ... 10 more bytes>,
item-app-1  |     bson: BSON {},
item-app-1  |     opts: { promoteLongs: true, promoteValues: true, promoteBuffers: false },
item-app-1  |     length: 60,
item-app-1  |     requestId: 55,
item-app-1  |     responseTo: 54,
item-app-1  |     responseFlags: 8,
item-app-1  |     cursorId: Long { _bsontype: 'Long', low_: 0, high_: 0 },
item-app-1  |     startingFrom: 0,
item-app-1  |     numberReturned: 1,
item-app-1  |     documents: [ [Object] ],
item-app-1  |     cursorNotFound: false,
item-app-1  |     queryFailure: false,
item-app-1  |     shardConfigStale: false,
item-app-1  |     awaitCapable: true,
item-app-1  |     promoteLongs: true,
item-app-1  |     promoteValues: true,
item-app-1  |     promoteBuffers: false,
item-app-1  |     hashedName: '03c1a6d65ff75972af4aa8f49add6222130d828a'
item-app-1  |   },
item-app-1  |   ops: [ { message: 'test 2', _id: 6739e7febdd6fd0062d3f53c } ],
item-app-1  |   insertedCount: 1,
item-app-1  |   insertedId: 6739e7febdd6fd0062d3f53c
item-app-1  | }
